Marca,Modelo,Ano,Tipo_combustivel,Potencia_motor,Cilindros_motor,Tipo_transmissao,Rodas_motrizes,Numero_portas,Tamanho,Estilo,Consumo_estrada_milhas,Consumo_cidade_milhas,Valor($)
Toyota,Sienna,2017,gasolina comum,296.0,6.0,automatico,tracao dianteira,4.0,grande,minivan de passageiros,27,19,39505
Chevrolet,S-10 Blazer,1993,gasolina comum,165.0,6.0,manual,tracao nas quatro rodas,2.0,compacto,SUV 2 portas,20,15,2000
Ford,Transit Wagon,2015,flex (gasolina/E85),275.0,6.0,automatico,tracao traseira,3.0,medio,van de passageiros,19,14,37570
Nissan,Cube,2013,gasolina comum,122.0,4.0,manual,tracao dianteira,4.0,compacto,perua,30,25,16760
Chevrolet,Traverse,2015,gasolina comum,281.0,6.0,automatico,tracao integral,4.0,medio,SUV 4 portas,23,16,35795
Hyundai,Tiburon,2007,gasolina comum,172.0,6.0,automatico,tracao dianteira,2.0,compacto,hatchback 2 portas,23,20,20495
Cadillac,CT6,2017,gasolina premium (recomendada),265.0,4.0,automatico,tracao traseira,4.0,grande,seda,30,22,58395
Chevrolet,S-10 Blazer,1993,gasolina comum,165.0,6.0,manual,tracao nas quatro rodas,4.0,medio,SUV 4 portas,20,15,2000
GMC,Safari,2005,gasolina comum,190.0,6.0,automatico,tracao traseira,3.0,grande,minivan de passageiros,20,14,24430
Audi,A3,2017,gasolina premium (recomendada),220.0,4.0,manual automatizado,tracao integral,4.0,compacto,seda,35,26,37450
Chevrolet,Equinox,2016,gasolina comum,182.0,4.0,automatico,tracao dianteira,4.0,compacto,SUV 4 portas,32,22,25210
Dodge,Nitro,2011,gasolina comum,210.0,6.0,automatico,tracao traseira,4.0,medio,SUV 4 portas,22,16,23235
Cadillac,CTS-V,2014,gasolina premium (obrigatoria),556.0,8.0,manual,tracao traseira,4.0,medio,seda,19,14,63600
Infiniti,QX56,2011,gasolina premium (recomendada),400.0,8.0,automatico,tracao nas quatro rodas,4.0,grande,SUV 4 portas,20,14,61800
Nissan,350Z,2007,gasolina comum,306.0,6.0,manual,tracao traseira,2.0,compacto,cupe,25,18,38070
Cadillac,Brougham,1990,gasolina comum,140.0,8.0,automatico,tracao traseira,4.0,grande,seda,22,15,2000
Ford,Flex,2016,gasolina comum,287.0,6.0,automatico,tracao integral,4.0,grande,perua,22,16,39750
Pontiac,Torrent,2009,gasolina comum,185.0,6.0,automatico,tracao dianteira,4.0,compacto,SUV 4 portas,24,17,24820
Buick,Park Avenue,2003,gasolina comum,205.0,6.0,automatico,tracao dianteira,4.0,grande,seda,27,17,34600
Ford,Windstar,2003,gasolina comum,200.0,6.0,automatico,tracao dianteira,4.0,medio,minivan de passageiros,22,16,23070
Audi,A4,2017,gasolina premium (recomendada),190.0,4.0,manual automatizado,tracao dianteira,4.0,medio,seda,37,27,38700
Ford,Aspire,1996,gasolina comum,63.0,4.0,manual,tracao dianteira,2.0,compacto,hatchback 2 portas,38,29,2000
GMC,Sierra 1500,2016,flex (gasolina/E85),285.0,6.0,automatico,tracao nas quatro rodas,2.0,grande,picape cabine simples,22,17,38670
Audi,Q5,2015,diesel,240.0,6.0,automatico,tracao integral,4.0,medio,SUV 4 portas,31,24,55000
Nissan,Sentra,2016,gasolina comum,130.0,4.0,automatico,tracao dianteira,4.0,medio,seda,40,30,18160
Chevrolet,Camaro,2016,gasolina premium (recomendada),275.0,4.0,manual,tracao traseira,2.0,medio,conversivel,30,21,32700
Volkswagen,Touareg,2016,gasolina premium (recomendada),280.0,6.0,automatico,tracao integral,4.0,medio,SUV 4 portas,23,17,59745
Ford,Expedition,2016,gasolina comum,365.0,6.0,automatico,tracao traseira,4.0,grande,SUV 4 portas,21,15,48145
Hyundai,Santa Fe,2017,gasolina comum,290.0,6.0,automatico,tracao integral,4.0,medio,SUV 4 portas,24,18,32550
Chevrolet,Silverado 1500 Hybrid,2012,gasolina comum,332.0,8.0,automatico,tracao nas quatro rodas,4.0,grande,picape cabine dupla,23,20,42840
Chevrolet,Impala,2016,flex (gasolina/gas natural),,6.0,automatico,tracao dianteira,4.0,grande,seda,25,17,40810
Toyota,Venza,2014,gasolina comum,268.0,6.0,automatico,tracao integral,4.0,medio,perua,25,18,31220
Audi,Q7,2015,diesel,240.0,6.0,automatico,tracao integral,4.0,grande,SUV 4 portas,28,19,59900
Dodge,Omni,1990,gasolina comum,93.0,4.0,manual,tracao dianteira,4.0,compacto,hatchback 4 portas,31,22,2000
Suzuki,Reno,2007,gasolina comum,127.0,4.0,manual,tracao dianteira,4.0,compacto,hatchback 4 portas,28,20,14099
Honda,Fit,2015,gasolina comum,130.0,4.0,automatico,tracao dianteira,4.0,compacto,hatchback 4 portas,38,32,19925
Dodge,RAM 150,1993,gasolina comum,180.0,6.0,manual,tracao nas quatro rodas,2.0,grande,picape cabine simples,16,11,2000
Pontiac,Solstice,2008,gasolina comum,173.0,4.0,manual,tracao traseira,2.0,compacto,conversivel,25,19,22455
Acura,TL,2012,gasolina premium (obrigatoria),280.0,6.0,automatico,tracao dianteira,4.0,medio,seda,29,20,39435
Scion,tC,2015,gasolina comum,179.0,4.0,automatico,tracao dianteira,2.0,compacto,hatchback 2 portas,31,23,20360
Dodge,Dakota,2010,gasolina comum,210.0,6.0,automatico,tracao nas quatro rodas,4.0,compacto,picape cabine dupla,18,14,33180
Toyota,Tacoma,2017,gasolina comum,278.0,6.0,automatico,tracao traseira,4.0,compacto,picape cabine estendida,24,19,30485
Buick,Enclave,2015,gasolina comum,288.0,6.0,automatico,tracao dianteira,4.0,medio,SUV 4 portas,24,17,47305
Subaru,B9 Tribeca,2006,gasolina premium (obrigatoria),250.0,6.0,automatico,tracao integral,4.0,medio,SUV 4 portas,21,16,32395
Honda,Civic,2015,gasolina premium (obrigatoria),205.0,4.0,manual,tracao dianteira,2.0,compacto,cupe,31,22,24390
Infiniti,Q50,2017,gasolina premium (obrigatoria),208.0,4.0,automatico,tracao integral,4.0,medio,seda,28,22,44300
Toyota,Venza,2013,gasolina comum,268.0,6.0,automatico,tracao dianteira,4.0,medio,perua,26,19,37570
Kia,Rio,2015,gasolina comum,138.0,4.0,automatico,tracao dianteira,4.0,compacto,hatchback 4 portas,37,27,18290
Chevrolet,C/K 1500 Series,1998,gasolina comum,200.0,6.0,manual,tracao nas quatro rodas,2.0,grande,picape cabine simples,19,14,3350
Infiniti,Q40,2015,gasolina premium (obrigatoria),328.0,6.0,automatico,tracao integral,4.0,medio,seda,25,18,35550
Chrysler,Sebring,2010,gasolina comum,173.0,4.0,automatico,tracao dianteira,4.0,medio,seda,30,21,20120
Honda,Crosstour,2014,gasolina comum,192.0,4.0,automatico,tracao dianteira,4.0,medio,hatchback 4 portas,31,22,27380
Oldsmobile,Cutlass Calais,1990,gasolina comum,160.0,4.0,automatico,tracao dianteira,2.0,compacto,cupe,28,20,2000
Subaru,Justy,1992,gasolina comum,73.0,3.0,manual,tracao dianteira,2.0,compacto,hatchback 2 portas,33,28,2000
Oldsmobile,Alero,2002,gasolina comum,170.0,6.0,automatico,tracao dianteira,2.0,medio,cupe,27,18,21080
Acura,TL,2013,gasolina premium (recomendada),305.0,6.0,automatico,tracao integral,4.0,medio,seda,26,18,39455
Mazda,B-Series Pickup,1998,gasolina comum,150.0,6.0,manual,tracao nas quatro rodas,2.0,compacto,picape cabine estendida,20,15,3033
Dodge,Neon,2003,gasolina comum,132.0,4.0,manual,tracao dianteira,4.0,compacto,seda,32,25,13030
Mazda,RX-7,1994,gasolina comum,255.0,,manual,tracao traseira,2.0,compacto,cupe,23,15,8147
Infiniti,FX35,2008,gasolina premium (obrigatoria),275.0,6.0,automatico,tracao traseira,4.0,medio,SUV 4 portas,22,15,38050
Volkswagen,New Beetle,2008,gasolina comum,150.0,5.0,automatico,tracao dianteira,2.0,compacto,hatchback 2 portas,29,20,20990
Oldsmobile,Cutlass Calais,1991,gasolina comum,160.0,4.0,automatico,tracao dianteira,4.0,compacto,seda,30,21,2000
Cadillac,ATS Coupe,2016,gasolina comum,335.0,6.0,automatico,tracao traseira,2.0,compacto,cupe,30,20,48675
Audi,TT,2017,gasolina premium (recomendada),220.0,4.0,manual automatizado,tracao integral,2.0,compacto,conversivel,30,23,47000
Volkswagen,Beetle Convertible,2014,gasolina premium (recomendada),210.0,4.0,manual automatizado,tracao dianteira,2.0,compacto,conversivel,29,23,34895
Hyundai,Elantra,2017,gasolina comum,147.0,4.0,automatico,tracao dianteira,4.0,compacto,seda,38,29,18150
Toyota,Prius c,2016,gasolina comum,99.0,4.0,automatico,tracao dianteira,4.0,compacto,hatchback 4 portas,46,53,19560
Ford,Edge,2015,gasolina premium (recomendada),245.0,4.0,automatico,tracao integral,4.0,medio,SUV 4 portas,28,20,30095
Toyota,Tundra,2016,gasolina comum,381.0,8.0,automatico,tracao nas quatro rodas,2.0,grande,picape cabine simples,17,13,33000
Nissan,Versa Note,2015,gasolina comum,109.0,4.0,automatico,tracao dianteira,4.0,compacto,hatchback 4 portas,40,31,17530
Audi,A4,2015,gasolina premium (obrigatoria),220.0,4.0,automatico,tracao dianteira,4.0,medio,seda,32,24,35500
Audi,SQ5,2015,gasolina premium (obrigatoria),354.0,6.0,automatico,tracao integral,4.0,medio,SUV 4 portas,24,17,52700
Hyundai,Veracruz,2012,gasolina comum,260.0,6.0,automatico,tracao integral,4.0,medio,SUV 4 portas,21,16,30245
Audi,S3,2017,gasolina premium (obrigatoria),292.0,4.0,manual automatizado,tracao integral,4.0,compacto,seda,28,21,42900
Acura,CL,2001,gasolina premium (obrigatoria),225.0,6.0,automatico,tracao dianteira,2.0,medio,cupe,27,17,29980
Land Rover,LR2,2013,gasolina premium (recomendada),240.0,4.0,automatico,tracao integral,4.0,compacto,SUV 4 portas,24,17,36400
Volkswagen,Beetle Convertible,2015,gasolina premium (recomendada),210.0,4.0,manual,tracao dianteira,2.0,compacto,conversivel,31,23,30895
Ford,F-150,2016,flex (gasolina/E85),282.0,6.0,automatico,tracao traseira,4.0,grande,picape cabine dupla,25,18,37140
Audi,S5,2016,gasolina premium (obrigatoria),333.0,6.0,manual automatizado,tracao integral,2.0,medio,conversivel,26,18,67350
Toyota,Tundra,2016,gasolina comum,381.0,8.0,automatico,tracao nas quatro rodas,4.0,grande,picape cabine estendida,17,13,35700
Toyota,Celica,2004,gasolina comum,140.0,4.0,manual,tracao dianteira,2.0,compacto,hatchback 2 portas,30,23,19535
Chevrolet,Silverado 1500,2016,gasolina comum,355.0,8.0,automatico,tracao nas quatro rodas,4.0,grande,picape cabine dupla,22,16,47135
Ford,Festiva,1991,gasolina comum,63.0,4.0,manual,tracao dianteira,2.0,compacto,hatchback 2 portas,38,30,2000
Dodge,Dakota,2008,gasolina comum,210.0,6.0,manual,tracao nas quatro rodas,4.0,compacto,picape cabine dupla,19,15,26120
Volkswagen,Tiguan,2017,gasolina premium (recomendada),200.0,4.0,automatico,tracao integral,4.0,compacto,SUV 4 portas,24,20,26970
BMW,3 Series,2015,diesel,180.0,4.0,automatico,tracao integral,4.0,medio,seda,43,31,41000
Lexus,GS 430,2007,gasolina premium (obrigatoria),290.0,8.0,automatico,tracao traseira,4.0,medio,seda,23,16,52375
Nissan,Titan,2014,gasolina comum,317.0,8.0,automatico,tracao traseira,4.0,grande,picape cabine dupla,18,13,33990
Mitsubishi,Montero Sport,2004,gasolina comum,197.0,6.0,automatico,tracao nas quatro rodas,4.0,medio,SUV 4 portas,17,14,25999
BMW,X6,2015,gasolina premium (obrigatoria),300.0,6.0,automatico,tracao integral,4.0,medio,SUV 4 portas,27,18,61900
Nissan,Quest,2014,gasolina comum,260.0,6.0,automatico,tracao dianteira,4.0,compacto,minivan de passageiros,25,19,26220
Mitsubishi,Mighty Max Pickup,1995,gasolina comum,116.0,4.0,manual,tracao traseira,2.0,compacto,picape cabine simples,23,18,2000
Mazda,Mazdaspeed MX-5 Miata,2005,gasolina premium (obrigatoria),178.0,4.0,manual,tracao traseira,2.0,compacto,conversivel,24,18,25780
Volkswagen,Jetta,2015,gasolina comum,170.0,4.0,manual,tracao dianteira,4.0,medio,seda,37,25,20895
Nissan,Pathfinder,2016,gasolina comum,260.0,6.0,automatico,tracao dianteira,4.0,grande,SUV 4 portas,27,20,29830
Mazda,CX-9,2015,gasolina comum,273.0,6.0,automatico,tracao integral,4.0,grande,SUV 4 portas,22,16,34070
Audi,A6,2017,gasolina premium (obrigatoria),333.0,6.0,automatico,tracao integral,4.0,medio,seda,29,21,58600
Lexus,NX 200t,2015,gasolina premium (obrigatoria),235.0,4.0,automatico,tracao dianteira,4.0,medio,SUV 4 portas,28,22,36580
Subaru,B9 Tribeca,2006,gasolina premium (obrigatoria),250.0,6.0,automatico,tracao integral,4.0,medio,SUV 4 portas,21,16,32295
Toyota,4Runner,2016,gasolina comum,270.0,6.0,automatico,tracao nas quatro rodas,4.0,medio,SUV 4 portas,21,17,44360
Dodge,Neon,2004,gasolina comum,132.0,4.0,manual,tracao dianteira,4.0,compacto,seda,32,25,15800
Chrysler,Pacifica,2007,gasolina comum,255.0,6.0,automatico,tracao integral,4.0,grande,perua,22,14,35825
Saab,9-7X,2007,gasolina comum,290.0,6.0,automatico,tracao integral,4.0,medio,SUV 4 portas,20,14,39190
Mazda,CX-5,2014,gasolina comum,184.0,4.0,automatico,tracao dianteira,4.0,medio,SUV 4 portas,32,25,27820
Audi,90,1993,gasolina comum,172.0,6.0,manual,tracao dianteira,4.0,compacto,seda,24,18,2000
Chevrolet,Colorado,2016,gasolina comum,200.0,4.0,automatico,tracao traseira,4.0,compacto,picape cabine dupla,27,20,24990
GMC,Yukon Hybrid,2013,gasolina comum,332.0,8.0,automatico,tracao traseira,4.0,grande,SUV 4 portas,23,20,54145
Saab,9000,1997,gasolina comum,200.0,4.0,manual,tracao dianteira,4.0,medio,hatchback 4 portas,26,18,2063
Ford,Windstar,2001,gasolina comum,200.0,6.0,automatico,tracao dianteira,4.0,medio,minivan de passageiros,22,16,25000
Chevrolet,S-10,2002,gasolina comum,190.0,6.0,automatico,tracao traseira,3.0,compacto,picape cabine estendida,20,15,20209
Kia,Spectra,2007,gasolina comum,138.0,4.0,manual,tracao dianteira,4.0,compacto,seda,30,23,15995
Cadillac,Seville,2002,gasolina comum,275.0,8.0,automatico,tracao dianteira,4.0,grande,seda,25,16,44399
Cadillac,ATS Coupe,2017,gasolina premium (recomendada),272.0,4.0,automatico,tracao traseira,2.0,compacto,cupe,31,22,41395
Toyota,Tundra,2015,gasolina comum,381.0,8.0,automatico,tracao nas quatro rodas,4.0,grande,picape cabine estendida,17,13,35040
Chevrolet,Cobalt,2009,gasolina premium (recomendada),260.0,4.0,manual,tracao dianteira,4.0,compacto,seda,30,22,23425
Dodge,RAM 250,1992,gasolina comum,180.0,6.0,manual,tracao traseira,2.0,grande,picape cabine simples,17,13,2000
Nissan,370Z,2015,gasolina premium (obrigatoria),332.0,6.0,automatico,tracao traseira,2.0,compacto,conversivel,25,18,46570
Volkswagen,Beetle Convertible,2014,gasolina comum,170.0,4.0,automatico,tracao dianteira,2.0,compacto,conversivel,32,24,25170
Nissan,370Z,2016,gasolina premium (obrigatoria),332.0,6.0,automatico,tracao traseira,2.0,compacto,cupe,26,19,39270
Dodge,RAM 150,1992,gasolina comum,180.0,6.0,manual,tracao traseira,2.0,grande,picape cabine simples,17,14,2000
Ford,Escape,2017,gasolina comum,,4.0,automatico,tracao integral,4.0,compacto,SUV 4 portas,28,22,30850
Subaru,Impreza WRX,2013,gasolina premium (obrigatoria),265.0,4.0,manual,tracao integral,4.0,compacto,hatchback 4 portas,25,19,29295
Volkswagen,Jetta,2016,gasolina comum,150.0,4.0,automatico,tracao dianteira,4.0,medio,seda,39,28,19775
Volkswagen,Golf,2015,gasolina comum,170.0,4.0,manual,tracao dianteira,2.0,compacto,hatchback 2 portas,37,25,17995
Subaru,Crosstrek,2016,gasolina comum,148.0,4.0,automatico,tracao integral,4.0,compacto,SUV 4 portas,34,26,23395
Kia,Borrego,2009,gasolina comum,276.0,6.0,automatico,tracao nas quatro rodas,4.0,medio,SUV 4 portas,21,16,29995
Audi,S4,2014,gasolina premium (obrigatoria),333.0,6.0,manual automatizado,tracao integral,4.0,medio,seda,28,18,49500
Mitsubishi,Endeavor,2010,gasolina premium (recomendada),225.0,6.0,automatico,tracao integral,4.0,medio,SUV 4 portas,19,15,31499
Dodge,Ram Pickup 1500,2010,flex (gasolina/E85),310.0,8.0,automatico,tracao traseira,2.0,grande,picape cabine simples,19,14,24855
Audi,Q7,2014,diesel,240.0,6.0,automatico,tracao integral,4.0,grande,SUV 4 portas,28,19,52900
Chevrolet,Blazer,2003,gasolina comum,190.0,6.0,manual,tracao traseira,2.0,compacto,SUV 2 portas,20,14,22845
Nissan,370Z,2016,gasolina premium (obrigatoria),332.0,6.0,automatico,tracao traseira,2.0,compacto,conversivel,25,18,49400
Chevrolet,Colorado,2012,gasolina comum,185.0,4.0,automatico,tracao traseira,4.0,compacto,picape cabine estendida,25,18,22955
Kia,Sorento,2016,gasolina comum,290.0,6.0,automatico,tracao integral,4.0,medio,SUV 4 portas,23,17,40100
Nissan,350Z,2008,gasolina comum,306.0,6.0,manual,tracao traseira,2.0,compacto,conversivel,24,17,38630
Chevrolet,Corvette,2015,gasolina premium (recomendada),455.0,8.0,manual,tracao traseira,2.0,compacto,cupe,29,17,59160
Dodge,RAM 150,1992,gasolina comum,230.0,8.0,manual,tracao traseira,2.0,grande,picape cabine estendida,16,11,2000
Ford,F-250,1998,gasolina comum,220.0,8.0,automatico,tracao traseira,3.0,grande,picape cabine estendida,18,13,3395
Buick,Lucerne,2009,flex (gasolina/E85),227.0,6.0,automatico,tracao dianteira,4.0,grande,seda,26,17,35270
Dodge,Dakota,2010,gasolina comum,210.0,6.0,automatico,tracao traseira,4.0,compacto,picape cabine estendida,20,15,22755
Volkswagen,Passat,2017,gasolina comum,170.0,4.0,automatico,tracao dianteira,4.0,medio,seda,34,23,25495
Cadillac,DeVille,2004,gasolina comum,300.0,8.0,automatico,tracao dianteira,4.0,grande,seda,24,16,50750
Chevrolet,Colorado,2016,gasolina comum,200.0,4.0,automatico,tracao traseira,4.0,compacto,picape cabine estendida,27,20,25980
Mazda,Truck,2003,gasolina comum,207.0,6.0,manual,tracao nas quatro rodas,2.0,compacto,picape cabine estendida,17,14,19975
Kia,Forte,2015,gasolina comum,201.0,4.0,manual,tracao dianteira,4.0,compacto,hatchback 4 portas,29,21,20890
Dodge,Caravan,2006,gasolina comum,150.0,4.0,automatico,tracao dianteira,4.0,grande,minivan de passageiros,24,17,18630
Acura,RSX,2005,gasolina comum,160.0,4.0,automatico,tracao dianteira,2.0,compacto,hatchback 2 portas,31,22,21175
Hyundai,Genesis Coupe,2014,gasolina premium (recomendada),274.0,4.0,automatico,tracao traseira,2.0,medio,cupe,27,17,29300
Mazda,CX-9,2016,gasolina comum,227.0,4.0,automatico,tracao dianteira,4.0,grande,SUV 4 portas,28,22,31520
Nissan,370Z,2015,gasolina premium (obrigatoria),350.0,6.0,automatico,tracao traseira,2.0,compacto,cupe,26,19,46790
Honda,Element,2011,gasolina comum,166.0,4.0,automatico,tracao integral,4.0,compacto,SUV 4 portas,24,19,24185
Chrysler,Sebring,2009,gasolina comum,173.0,4.0,automatico,tracao dianteira,4.0,medio,seda,30,21,21810
Nissan,370Z,2017,gasolina premium (obrigatoria),332.0,6.0,manual,tracao traseira,2.0,compacto,cupe,26,18,33570
Acura,Integra,1999,gasolina comum,140.0,4.0,manual,tracao dianteira,4.0,compacto,seda,29,22,2827
Saab,9-3,2009,gasolina premium (recomendada),210.0,4.0,manual,tracao dianteira,4.0,medio,seda,29,19,30360
Buick,Verano,2016,gasolina comum,180.0,4.0,automatico,tracao dianteira,4.0,medio,seda,32,21,21065
Chevrolet,Silverado 1500,2016,flex (gasolina/E85),285.0,6.0,automatico,tracao nas quatro rodas,4.0,grande,picape cabine dupla,22,17,38695
Ford,F-150,2015,flex (gasolina/E85),385.0,8.0,automatico,tracao nas quatro rodas,4.0,grande,picape cabine estendida,21,15,35360
Chevrolet,S-10,2002,flex (gasolina/E85),120.0,4.0,manual,tracao traseira,3.0,compacto,picape cabine estendida,25,19,15943
Mercedes-Benz,E-Class,2015,gasolina premium (obrigatoria),329.0,6.0,automatico,tracao traseira,2.0,medio,conversivel,29,20,61350
Cadillac,SRX,2016,gasolina comum,308.0,6.0,automatico,tracao integral,4.0,medio,SUV 4 portas,23,16,51730
Subaru,BRZ,2016,gasolina premium (obrigatoria),200.0,4.0,manual,tracao traseira,2.0,compacto,cupe,30,22,25395
Chrysler,PT Cruiser,2010,gasolina comum,150.0,4.0,automatico,tracao dianteira,4.0,compacto,perua,24,19,18275
Ford,Windstar,2003,gasolina comum,200.0,6.0,automatico,tracao dianteira,4.0,medio,minivan de passageiros,22,16,34825
Chrysler,200,2016,flex (gasolina/E85),184.0,4.0,automatico,tracao dianteira,4.0,medio,seda,36,23,27795
Toyota,Tacoma,2017,gasolina comum,278.0,6.0,automatico,tracao nas quatro rodas,4.0,compacto,picape cabine estendida,23,18,31875
Lincoln,MKC,2017,gasolina comum,240.0,4.0,automatico,tracao dianteira,4.0,compacto,SUV 4 portas,28,21,35720
Mazda,Tribute,2011,gasolina comum,171.0,4.0,automatico,tracao integral,4.0,compacto,SUV 4 portas,26,20,27455
Nissan,Versa Note,2017,gasolina comum,109.0,4.0,automatico,tracao dianteira,4.0,compacto,hatchback 4 portas,39,31,15480
Mazda,Mazdaspeed Protege,2003,gasolina premium (obrigatoria),170.0,4.0,manual,tracao dianteira,4.0,compacto,seda,27,21,20480
GMC,Terrain,2016,gasolina comum,182.0,4.0,automatico,tracao integral,4.0,compacto,SUV 4 portas,29,20,32370
Acura,RL,2011,gasolina premium (obrigatoria),300.0,6.0,automatico,tracao integral,4.0,medio,seda,24,17,47200
Volvo,XC60,2016,gasolina comum,240.0,4.0,automatico,tracao dianteira,4.0,medio,SUV 4 portas,31,23,44150
Infiniti,Q60 Coupe,2014,gasolina premium (obrigatoria),348.0,6.0,automatico,tracao traseira,2.0,medio,cupe,27,19,53650
Hyundai,Azera,2016,gasolina comum,293.0,6.0,automatico,tracao dianteira,4.0,medio,seda,29,20,34100
Lexus,GS 350,2015,gasolina premium (obrigatoria),306.0,6.0,automatico,tracao traseira,4.0,medio,seda,29,19,55070
Suzuki,Reno,2008,gasolina comum,127.0,4.0,automatico,tracao dianteira,4.0,compacto,hatchback 4 portas,28,19,14939
BMW,2 Series,2017,gasolina premium (recomendada),335.0,6.0,automatico,tracao integral,2.0,compacto,conversivel,32,21,51050
Toyota,Prius c,2015,gasolina comum,99.0,4.0,automatico,tracao dianteira,4.0,compacto,hatchback 4 portas,46,53,24475
Kia,K900,2016,gasolina comum,311.0,6.0,automatico,tracao traseira,4.0,grande,seda,26,17,54900
Nissan,Armada,2015,gasolina comum,317.0,8.0,automatico,tracao nas quatro rodas,4.0,grande,SUV 4 portas,18,12,52780
Volkswagen,Passat,2016,gasolina comum,170.0,4.0,automatico,tracao dianteira,4.0,medio,seda,38,25,24750
Ford,Windstar,2002,gasolina comum,200.0,6.0,automatico,tracao dianteira,4.0,medio,minivan de passageiros,21,16,22340
Buick,Rainier,2005,gasolina comum,275.0,6.0,automatico,tracao traseira,4.0,medio,SUV 4 portas,20,14,33785
Mazda,B-Series Pickup,1999,gasolina comum,119.0,4.0,manual,tracao traseira,2.0,compacto,picape cabine simples,24,19,2593
Acura,ZDX,2012,gasolina premium (obrigatoria),300.0,6.0,automatico,tracao integral,4.0,medio,hatchback 4 portas,23,16,56670
Chevrolet,Avalanche,2011,flex (gasolina/E85),320.0,8.0,automatico,tracao traseira,4.0,grande,picape cabine dupla,21,15,39405
Audi,S3,2016,gasolina premium (obrigatoria),292.0,4.0,manual automatizado,tracao integral,4.0,compacto,seda,31,23,42500
Cadillac,CTS Coupe,2013,gasolina comum,318.0,6.0,automatico,tracao integral,2.0,medio,cupe,27,18,45850
Ford,Explorer,2016,flex (gasolina/E85),290.0,6.0,automatico,tracao dianteira,4.0,medio,SUV 4 portas,24,17,33400
Volkswagen,Beetle,2015,diesel,150.0,4.0,manual automatizado,tracao dianteira,2.0,compacto,hatchback 2 portas,41,31,25895
Toyota,Yaris,2015,gasolina comum,106.0,4.0,automatico,tracao dianteira,4.0,compacto,hatchback 4 portas,36,30,15945
Infiniti,G Sedan,2012,gasolina premium (recomendada),328.0,6.0,automatico,tracao integral,4.0,medio,seda,25,18,38500
HUMMER,H3T,2010,gasolina comum,239.0,5.0,manual,tracao nas quatro rodas,4.0,compacto,picape cabine dupla,18,14,33485
Infiniti,G Convertible,2011,gasolina premium (obrigatoria),325.0,6.0,manual,tracao traseira,2.0,medio,conversivel,24,16,50200
Pontiac,Grand Prix,2008,gasolina comum,200.0,6.0,automatico,tracao dianteira,4.0,grande,seda,28,18,22210
Acura,TLX,2017,gasolina premium (recomendada),290.0,6.0,automatico,tracao integral,4.0,medio,seda,31,21,44800
Saab,9-3,2011,gasolina premium (recomendada),210.0,4.0,manual,tracao dianteira,2.0,compacto,conversivel,29,20,39990
Toyota,Corolla,2015,gasolina comum,140.0,4.0,automatico,tracao dianteira,4.0,compacto,seda,42,30,18965
Chrysler,Le Baron,1993,gasolina comum,141.0,6.0,manual,tracao dianteira,2.0,compacto,conversivel,24,17,2000
Chevrolet,Silverado 1500,2017,flex (gasolina/E85),285.0,6.0,automatico,tracao traseira,4.0,grande,picape cabine estendida,24,18,31610
Mercedes-Benz,300-Class,1993,gasolina comum,217.0,6.0,automatico,tracao traseira,2.0,medio,cupe,22,17,2397
Mitsubishi,Eclipse,2010,gasolina premium (recomendada),265.0,6.0,automatico,tracao dianteira,2.0,compacto,hatchback 2 portas,24,16,29089
Volkswagen,Beetle Convertible,2015,gasolina comum,170.0,4.0,automatico,tracao dianteira,2.0,compacto,conversivel,32,24,29595
Dodge,Nitro,2011,gasolina comum,210.0,6.0,automatico,tracao nas quatro rodas,4.0,medio,SUV 4 portas,21,15,23340
Volkswagen,Corrado,1992,gasolina comum,178.0,6.0,manual,tracao dianteira,2.0,compacto,hatchback 2 portas,23,16,2000
Plymouth,Neon,1999,gasolina comum,150.0,4.0,manual,tracao dianteira,4.0,compacto,seda,36,24,2000
Ford,Shelby GT350,2017,gasolina premium (recomendada),526.0,8.0,manual,tracao traseira,2.0,medio,cupe,21,15,61795
Lincoln,MKZ,2016,gasolina comum,231.0,4.0,automatico,tracao dianteira,4.0,medio,seda,33,22,45605
Volkswagen,Golf,2015,gasolina comum,170.0,4.0,manual,tracao dianteira,4.0,compacto,hatchback 4 portas,37,25,21295
Infiniti,M30,1992,gasolina comum,162.0,6.0,automatico,tracao traseira,2.0,medio,conversivel,23,17,2000
Honda,Accord,2016,gasolina comum,185.0,4.0,automatico,tracao dianteira,4.0,medio,seda,37,27,28670
Ford,Ranger,2010,gasolina comum,143.0,4.0,manual,tracao traseira,2.0,compacto,picape cabine simples,27,22,19105
Lotus,Elise,2010,gasolina premium (obrigatoria),189.0,4.0,manual,tracao traseira,2.0,compacto,conversivel,27,21,47250
BMW,4 Series,2017,gasolina premium (recomendada),248.0,4.0,automatico,tracao traseira,2.0,medio,conversivel,34,23,50300
Audi,S3,2015,gasolina premium (obrigatoria),292.0,4.0,manual automatizado,tracao integral,4.0,compacto,seda,31,23,47000
Chevrolet,Impala,2017,flex (gasolina/gas natural),,6.0,automatico,tracao dianteira,4.0,grande,seda,25,17,37675
Saab,9-3,2010,gasolina premium (recomendada),207.0,4.0,automatico,tracao dianteira,4.0,compacto,perua,27,19,37020
Pontiac,G6,2010,gasolina comum,164.0,4.0,automatico,tracao dianteira,4.0,medio,seda,30,22,21275
